REGISTRATION_NUMBER,COMPANY_NAME,SIC_CODE,INDUSTRY_TYPE,INDUSTRY_CODE,DISSOLVED/REMOVED/LIVE,LIQUIDATION,ACCOUNTING_FROM_DATE,ACCOUNTING_TO_DATE,Year,WEEKS,MONTHS,CONSOLIDATED-ACCOUNTS,ACCOUNTS_FORMAT,TURNOVER,EXPORT,COST_OF_SALES,GROSS_PROFIT,WAGES_AND_SALARIES,OPERATING_PROFITS,DEPRECIATION,INTEREST_PAYMENTS,PRETAX_PROFITS,TAXATION,PROFIT_AFTER_TAX,DIVIDENDS_PAYABLE,RETAINED_PROFITS,TANGIBLE_ASSETS,INTANGIBLE_ASSETS,TOTAL_FIXED_ASSETS,TOTAL_CURRENT_ASSETS,TRADE_DEBTORS,STOCK,CASH,OTHER_CURRENT_ASSETS,INCREASE_IN_CASH,MISCELANEOUS_CURRENT_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,TRADE_CREDITORS,BANK_OVERDRAFT,OTHER_SHORTTERM_FIN,MISC_CURRENT_LIABILITIES,OTHER_LONGTERM_FIN,TOTAL_LONGTERM_LIAB,BANK_OD_LTL,TOTAL_LIAB,NET_ASSETS,WORKING_CAPITAL,PAIDUP_EQUITY,SHAREHOLDER_FUNDS,P&L_ACCOUNT_RESERVE,SUNDRY_RESERVES,REVALUATION_RESERVE,NETWORTH,NET_CASHFLOW_FROM_OPERATIONS,NET_CASHFLOW_BEFOR_FINANCING,NET_CASHFLOW_FROM_FINANCING,CONTINGENT_LIAB,CAPITAL_EMPLOYED,EMPLOYEES_COUNT,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,Z1,Z2,Z3,Z4,Z5
28073,CALDER INDUSTRIAL MATERIALS LIMITED,25990,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,01/06/2017,31/05/2018,2018,52,12,N,2,41801000.0,0.0,37678000.0,4123000.0,4971000.0,-186000.0,526000.0,897000.0,-546000.0,79000.0,-467000.0,0.0,-467000.0,2699000,0.0,2699000.0,24896000.0,7507000.0,3932000.0,93000.0,13309000.0,193000.0,55000.0,27595000.0,12914000.0,1332000.0,0,9705000.0,1877000.0,20000.0,3226000.0,3226000,16140000.0,11455000,11982000.0,8000000.0,11455000,3455000.0,0.0,11455000.0,-1710000.0,-1199000,1392000.0,0.0,14681000,139.0,1,-1.306188847,1.927830262,3.4886496410000003,28.16237451,41.51114332,11.63082223,65.54998684,24895999.7,-3.719092705,-1.978619315,1.127367962,9.406473529,-4.7664775210000006,1.4089917066783064,340000.0,2.4635095604168367,0.5210509150208371,-0.023692697952527632,0.04065953977169777,0.4258364312267658,1.4996553723500634
43694,ROBERTS METAL PACKAGING LTD,25920,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,27/03/2017,26/03/2018,2018,52,12,N,1,11774272.0,0.0,8364174.0,3410098.0,2913220.0,1480388.0,280850.0,60085.0,1420303.0,-265450.0,1154853.0,389370.0,765483.0,2127554,0.0,2127554.0,5190409.0,2402323.0,1847191.0,572323.0,368572.0,-262497.0,0.0,7317963.0,2227529.0,985911.0,40225,373140.0,828253.0,754669.0,1117932.0,1158157,3345461.0,3972502,2962880.0,38937.0,3972502,3570090.0,0.0,3972502.0,809171.0,-443329,180832.0,0.0,5090434,50.0,1,12.06276702,2.330119608,3.97392807,29.15434656,54.28425916,30.56303736,74.47151679999997,5190408.171,27.90141273,19.40844741,0.560737037,15.68836698,35.75336148,0.8421546420870273,1761238.0,3.731843109450352,0.4858532353880444,0.14644460487160155,0.794221752692655,0.7124582232463627,1.5928652932516878
45894,BRUNTONS AERO PRODUCTS LIMITED,25930,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,01/04/2017,31/03/2018,2018,52,12,N,1,3510896.0,0.0,1031766.0,2479130.0,1396243.0,290790.0,150848.0,0.0,298249.0,84847.0,383096.0,481908.0,-98812.0,1572945,0.0,1572945.0,2126968.0,544457.0,989324.0,575228.0,17959.0,0.0,0.0,3699913.0,1950196.0,201160.0,0,1602721.0,146315.0,0.0,49717.0,49717,1999913.0,1700000,176772.0,1700000.0,1700000,0.0,0.0,1700000.0,0.0,0,0.0,48000000.0,1749717,53.0,1,8.494953995,1.090643197,19.86115448,2.924529412,45.94702632,20.9130091,56.60287431,2126967.493,17.04555651,8.060973326000001,1.147174118,28.17867576,17.54405882,1.176419411764706,441638.0,1.863292395291633,0.05733280755520467,-0.03738920347586551,0.3939026133857742,0.5100221859650894,0.9394239918614302
47152,"JAMES DAWSON & SON,LIMITED",25620,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,28/08/2017,31/12/2018,2018,70,16,N,1,41070000.0,31424000.0,28428000.0,12642000.0,17297000.0,3100000.0,737000.0,117000.0,2986000.0,-542000.0,2444000.0,1638000.0,806000.0,3651000,188000.0,3839000.0,9347000.0,5837000.0,2761000.0,4000.0,215000.0,0.0,0.0,13186000.0,5486000.0,2874000.0,423000,747000.0,1442000.0,0.0,0.0,433000,5496000.0,7690000,3861000.0,1011000.0,7502000,3179000.0,502000.0,7690000.0,0.0,0,0.0,122044000.0,7700000,354.0,1,7.270513757000001,1.703791469,10.63714064,5.6306892070000005,59.16294815,25.54200146,51.87496956,9346999.497,38.77922078,22.64522979,0.713394018,6.722668615,38.82964889,0.7326046387629965,3837000.0,5.299732778645076,0.3513726679811921,0.08557561049598059,0.9602684665554376,0.8189956331877729,3.0835204004246934
63351,"SAMUEL TAYLOR,LIMITED",25990,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,01/06/2017,31/05/2018,2018,52,12,N,1,21595247.0,17531915.0,18860179.0,2735068.0,2089273.0,1167663.0,421721.0,20331.0,1147332.0,-162839.0,984493.0,0.0,984493.0,2566548,0.0,2566548.0,10174769.0,3872376.0,4947355.0,93894.0,1261144.0,0.0,0.0,12741317.0,5659512.0,4498639.0,0,821920.0,338953.0,265778.0,528778.0,528778,6188290.0,6553027,4515257.0,7999.0,6553027,6543027.0,0.0,6553027.0,0.0,0,0.0,0.0,7081805,73.0,1,5.312891304,1.797817374,4.782728204,8.069217477999999,51.43131593,76.03539959999998,65.45038545,10174768.13,16.20112387,9.004814807999999,0.863648509,22.90946244,17.50842778,0.9443406840838592,1589384.0,3.258394203717817,0.4252549716799292,0.1081748613585236,0.4116503184089996,0.6353639212124836,1.6779501310578804
71835,C.BRANDAUER & CO. LIMITED,25990,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,01/04/2017,31/03/2018,2018,52,12,N,1,8827459.0,3501639.0,6468280.0,2359179.0,2089385.0,589103.0,403647.0,11962.0,586858.0,-53958.0,532900.0,29000.0,503900.0,2740441,24999.0,2765440.0,4741814.0,1759581.0,635872.0,2109618.0,236743.0,0.0,0.0,7507254.0,2278818.0,1647035.0,81053,154846.0,395884.0,233176.0,481311.0,562364,2760129.0,4747125,2462996.0,240000.0,4722126,4507125.0,0.0,4747125.0,0.0,0,0.0,80000.0,5228436,57.0,1,6.648096581,2.080821724,3.584033023,11.8464123,63.44511113,68.10201837,72.75559875,4741813.721,11.22435084,7.817212525,0.480041709,7.203341301,12.36238776,0.5845098161294299,992750.0,3.1146567698838736,0.3936985747385129,0.09397044511881443,0.4363879255983612,1.0265011526635168,1.164098671764669
73818,"BROADWAY & CO.,LIMITED",25990,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,01/05/2017,30/04/2018,2018,52,12,N,1,417193.0,0.0,0.0,0.0,136284.0,0.0,1834.0,0.0,-1473.0,-1894.0,-3367.0,0.0,-3367.0,23792,0.0,23792.0,697472.0,680453.0,0.0,0.0,991.0,0.0,16028.0,721264.0,51090.0,49702.0,0,1388.0,0.0,0.0,0.0,0,51090.0,670174,646382.0,0.0,670174,670174.0,0.0,670174.0,0.0,0,0.0,0.0,670174,9.0,1,-0.35307399700000003,13.651830100000002,0.645427936,0.0,92.91660197,43.48402298,595.3248137,697472.0,-0.21979366600000005,-0.204224805,0.076233933,0.0,-0.21979366600000005,0.07623393327702954,1834.0,9.520416958592898,1.0754153818851349,-0.006535471061913529,0.008391102287095987,7.870510863182617,0.5726350822999623
75016,ARTHUR PRICE & CO.LIMITED,25710,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,31/03/2017,30/03/2018,2018,52,12,N,1,7279328.0,560972.0,3957016.0,3322312.0,2124006.0,-531766.0,61106.0,11651.0,-543418.0,0.0,-543418.0,0.0,-543418.0,625394,0.0,625394.0,4045434.0,912428.0,2828180.0,4218.0,300608.0,163169.0,0.0,4670828.0,1238126.0,698561.0,80406,71119.0,388040.0,27500.0,27500.0,107906,1265626.0,3405202,2807308.0,27000.0,3405202,2959517.0,415685.0,3405202.0,232084.0,198115,-34946.0,0.0,3432702,139.0,1,-7.465222064,3.2673847410000003,2.59299229,3.16885753,72.9036051,35.02723946,45.75095668,4045431.716,-15.83061973,-11.63429696,0.3635984,38.85221273,-15.958465900000002,0.3716742795287916,-470660.0,3.3830269083813547,0.7212360634988058,-0.16288015743675424,-0.3325273377653812,1.614316709675686,1.5428816304089985
77222,THIRCON LIMITED,25110,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,01/01/2018,31/12/2018,2018,52,12,N,2,210517.0,0.0,120993.0,89524.0,0.0,0.0,0.0,0.0,87913.0,0.0,87913.0,0.0,87913.0,1000,0.0,1000.0,648104.0,90521.0,0.0,111612.0,445971.0,85894.0,0.0,649104.0,21339.0,12402.0,0,8937.0,0.0,0.0,0.0,0,21339.0,627765,626765.0,500000.0,627765,127765.0,0.0,627765.0,85894.0,85894,0.0,0.0,627765,2.0,1,41.7605229,30.37180749,0.335878679,0.0,96.71254529,21.502919,156.94772869999997,648104.0,14.00412575,13.54374646,0.033992019,0.0,14.00412575,0.033992019306587656,0.0,19.320592491937422,1.1587018413074022,0.18961245039315733,0.0,17.65120202446225,0.32107617577460623
84884,COLEHERNE LIMITED,25990,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,01/01/2018,31/12/2018,2018,52,12,N,1,5491997.0,1192435.0,4428049.0,1063948.0,2513485.0,-268231.0,309304.0,64072.0,-332303.0,-31613.0,-363916.0,0.0,-363916.0,2211776,0.0,2211776.0,2990147.0,1738657.0,1036589.0,10434.0,204467.0,0.0,0.0,5201923.0,2214321.0,794012.0,737440,410810.0,272059.0,315195.0,1682195.0,2419635,3896516.0,1305407,775826.0,26000.0,1305407,621364.0,646067.0,1305407.0,0.0,0,0.0,0.0,2987602,62.0,1,-6.050677012,1.3503674490000002,7.0789030010000005,185.3548357,25.09470056,52.77030923,115.5517392,2990146.532,-11.12273322,-6.3880799470000005,1.696268673,18.87453689,-25.4558923,2.9849050909026835,41073.0,1.353301969288359,0.1789705845319125,-0.09794116521909302,0.026055922011917514,0.20101141635245431,1.0452052116111676
