REGISTRATION_NUMBER,COMPANY_NAME,SIC_CODE,INDUSTRY_TYPE,INDUSTRY_CODE,DISSOLVED/REMOVED/LIVE,LIQUIDATION,ACCOUNTING_FROM_DATE,ACCOUNTING_TO_DATE,Year,WEEKS,MONTHS,CONSOLIDATED-ACCOUNTS,ACCOUNTS_FORMAT,TURNOVER,EXPORT,COST_OF_SALES,GROSS_PROFIT,WAGES_AND_SALARIES,OPERATING_PROFITS,DEPRECIATION,INTEREST_PAYMENTS,PRETAX_PROFITS,TAXATION,PROFIT_AFTER_TAX,DIVIDENDS_PAYABLE,RETAINED_PROFITS,TANGIBLE_ASSETS,INTANGIBLE_ASSETS,TOTAL_FIXED_ASSETS,TOTAL_CURRENT_ASSETS,TRADE_DEBTORS,STOCK,CASH,OTHER_CURRENT_ASSETS,INCREASE_IN_CASH,MISCELANEOUS_CURRENT_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,TRADE_CREDITORS,BANK_OVERDRAFT,OTHER_SHORTTERM_FIN,MISC_CURRENT_LIABILITIES,OTHER_LONGTERM_FIN,TOTAL_LONGTERM_LIAB,BANK_OD_LTL,TOTAL_LIAB,NET_ASSETS,WORKING_CAPITAL,PAIDUP_EQUITY,SHAREHOLDER_FUNDS,P&L_ACCOUNT_RESERVE,SUNDRY_RESERVES,REVALUATION_RESERVE,NETWORTH,NET_CASHFLOW_FROM_OPERATIONS,NET_CASHFLOW_BEFOR_FINANCING,NET_CASHFLOW_FROM_FINANCING,CONTINGENT_LIAB,CAPITAL_EMPLOYED,EMPLOYEES_COUNT,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,Z1,Z2,Z3,Z4,Z5
107182,VINCENT TIMBER LIMITED,16100,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23,L,N/A,01/10/2017,30/09/2018,2018,52,12,N,1,12183508.0,0.0,9011427.0,3172081.0,1778716.0,181215.0,62785.0,84156.0,97059.0,-7744.0,89315.0,0.0,89315.0,521496,0.0,521496.0,5948808.0,2382926.0,3433803.0,59651.0,72428.0,541859.0,0.0,6470304.0,4216035.0,944348.0,1697235,638322.0,936130.0,72112.0,0.0,1769347,4288147.0,2182157,1732773.0,870000.0,2182157,1312154.0,0.0,2182157.0,677103.0,577679,-35820.0,0.0,2254269,61.0,1,0.796642478,1.410995876,7.031219900000001,81.08247940000003,33.72572602,28.29127867,71.38896203,5948807.186000002,4.305564243,1.500068621,1.932049344,28.18402549,4.447846786,1.9650955453709331,244000.0,2.634622856085879,0.3213647457677414,0.01932536709248901,0.1244454665499488,0.30532866527196945,1.8641586114037298
132673,WOODLANDS HOME & GARDEN GROUP LIMITED,16100,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23,L,N/A,01/12/2017,30/11/2018,2018,52,12,N,1,18546916.0,0.0,10389766.0,8157150.0,7050926.0,-1772625.0,181213.0,5920.0,-1773762.0,-428409.0,-2202171.0,8500000.0,-10702171.0,840097,0.0,840097.0,6676650.0,1569744.0,1940141.0,2587260.0,579505.0,0.0,0.0,7516747.0,4625334.0,563883.0,26151,100.0,4035200.0,0.0,76362.0,102513,4701696.0,2815051,2051316.0,1675.0,2815051,2592360.0,0.0,2815051.0,0.0,0,0.0,0.0,2891413,110.0,1,-9.563649287999999,1.443495756,9.041471914,3.641603651,37.45038911,11.0971169,30.89228204,6676649.581,-61.34585409,-23.59746843,1.6430728959999998,10.46072026,-63.00994192,1.670199225520248,-1591412.0,0.437507417381716,0.3274793205092575,-1.9932877081003255,-0.6986612160819035,0.3592385811417837,2.442738439912904
158479,ROYAL BRITISH LEGION INDUSTRIES LTD.,16290,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23,L,N/A,01/04/2017,31/03/2018,2018,52,12,N,1,17673000.0,0.0,0.0,0.0,9599000.0,0.0,636000.0,0.0,-642000.0,0.0,-642000.0,0.0,-642000.0,20661000,0.0,20661000.0,6918000.0,1516000.0,382000.0,4165000.0,855000.0,-1631000.0,0.0,27579000.0,3229000.0,862000.0,0,0.0,2367000.0,0.0,1506000.0,1506000,4735000.0,22844000,3689000.0,0.0,22844000,8155000.0,0.0,22844000.0,-442000.0,-1631000,0.0,0.0,24350000,400.0,1,-3.63265999,2.142458966,4.790729195,6.592540711,82.83113964,17.80286312,31.30990777,6917999.882,-2.636550308,-2.327858153,0.141350026,2.161489277,-2.81036596,0.20727543337419016,636000.0,3.733129377053451,0.16051343413466768,-0.03259001414119438,0.0761013814859132,2.894699049630412,0.6344055259436527
201929,HOWARTH TIMBER & BUILDING SUPPLIES LIMITED,16290,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23,L,N/A,01/04/2017,31/03/2018,2018,52,12,N,1,93063000.0,0.0,0.0,0.0,14023000.0,2082000.0,1707000.0,274000.0,2330000.0,-485000.0,1845000.0,0.0,1845000.0,11631000,398000.0,12029000.0,26358000.0,10749000.0,11461000.0,51000.0,4097000.0,0.0,0.0,38387000.0,18344000.0,13907000.0,972000,2209000.0,1256000.0,1191000.0,3499000.0,4471000,21843000.0,16544000,8014000.0,48000.0,16146000,16496000.0,0.0,16544000.0,0.0,0,0.0,812000.0,20043000,474.0,1,2.5036803030000003,1.436873092,11.61255303,27.02490329,43.54944852,54.5442872,42.15837658,26357999.38,11.62500624,6.0697632010000016,1.108800774,12.31531328,14.08365571,1.3528428093645486,3789000.0,3.487141684019972,0.2505223122411233,0.06728840492875192,0.3257274598171256,0.4435105067985167,2.4000930002344543
254946,LBS BUILDERS MERCHANTS LIMITED,16230,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23,L,N/A,01/01/2018,31/12/2018,2018,52,12,N,1,59697000.0,0.0,39287000.0,20410000.0,8446000.0,3417000.0,157000.0,0.0,3448000.0,-612000.0,2836000.0,0.0,2836000.0,1313000,0.0,1313000.0,20213000.0,6703000.0,6211000.0,6094000.0,1205000.0,0.0,0.0,21526000.0,8305000.0,4919000.0,0,1195000.0,2191000.0,0.0,32000.0,32000,8337000.0,13189000,11908000.0,2000.0,13189000,13186000.0,0.0,13189000.0,0.0,0,0.0,0.0,13221000,342.0,1,5.7758346320000005,2.433835039,5.013184414,0.242626431,61.27009198,30.07579945,40.98355026,20212999.25,26.07972165,16.01783889,0.62969141,10.40420792,26.14299795,0.6321176738190917,3574000.0,5.090890161130367,0.6638297872340425,0.18444671559973985,0.5479048592399889,0.9491903562432529,2.7455184428133417
269521,WATFORD TIMBER COMPANY LIMITED,16100,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23,L,N/A,01/02/2017,31/01/2018,2018,52,12,N,1,10524906.0,0.0,8257175.0,2267731.0,2315181.0,235155.0,0.0,0.0,237341.0,-47388.0,189953.0,80000.0,109953.0,0,0.0,0.0,2977183.0,1214161.0,1072920.0,544276.0,145826.0,11789.0,0.0,2977183.0,1905802.0,845537.0,0,686797.0,373468.0,0.0,0.0,0,1905802.0,1071381,1071381.0,14093.0,1071381,1049720.0,0.0,1071381.0,320743.0,173541,-161752.0,0.0,1071381,71.0,1,2.255041518,1.5621680530000002,9.823681771,0.0,35.98640057,29.32292269,42.10667202,2977182.437,22.15281025,7.971999033999999,1.7788275130000002,10.194105300000002,22.15281025,1.7788275132749227,235155.0,4.581332804386303,0.4318368068069715,0.05170464832024098,0.2606529393725545,0.3373008318807515,3.4998375780057858
305654,MERRITT & FRYERS LIMITED,16230,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23,L,N/A,01/10/2017,30/09/2018,2018,52,12,N,1,8403376.0,0.0,6536836.0,1866540.0,1355457.0,988458.0,115159.0,53933.0,934525.0,-144787.0,789738.0,720880.0,68858.0,2647244,0.0,2647244.0,3789352.0,845468.0,1825371.0,1062075.0,56438.0,0.0,0.0,6436596.0,2531373.0,609945.0,0,14869.0,1906559.0,8200.0,0.0,393200,2924573.0,3512023,1257979.0,500.0,3512023,1782065.0,1689458.0,3512023.0,0.0,0,0.0,0.0,3905223,57.0,1,11.12082811,1.49695521,6.680060637,11.19582645,54.56335927,26.49291487,36.72283854,3789351.279,23.93013152,14.51893206,0.720773469,21.72187702,26.60930751,0.8327317332488996,1103617.0,2.8283508094664565,0.234529990696946,0.014977046873844498,0.5658171027045972,0.7205201579854563,1.2925065112056124
321764,STONEHAM PLC,16230,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23,L,N/A,01/01/2018,31/12/2018,2018,52,12,N,1,5672446.0,0.0,3865143.0,1807303.0,2409503.0,-109900.0,152023.0,11221.0,-119095.0,519748.0,400653.0,15000.0,385653.0,770292,0.0,770292.0,2516988.0,679525.0,720052.0,548561.0,568850.0,370527.0,0.0,3287280.0,981039.0,307172.0,36846,79655.0,557366.0,116515.0,0.0,323173,1267366.0,2019914,1535949.0,100000.0,2019914,1824914.0,0.0,2019914.0,368177.0,481278,-110751.0,0.0,2306241,75.0,1,-2.099535192,2.565635005,3.693121321000001,15.99934453,61.44636295,19.76533227,43.72481025,2516987.266,-5.164030992,-3.622904042,0.485683549,12.69385376,-5.896043099,0.6274356234968419,42123.0,3.4318095441417986,0.5606881068847193,0.16424344747024894,0.0422859932832007,0.9562734048412218,1.7083185916624082
325017,GEORGE WOOD & SONS (ENFIELD) LIMITED,16100,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23,L,N/A,01/04/2017,31/03/2018,2018,52,12,N,1,5846528.0,0.0,2249394.0,3597134.0,0.0,34302.0,138040.0,0.0,37148.0,-30689.0,6459.0,0.0,6459.0,761191,0.0,761191.0,1269398.0,763518.0,297157.0,136093.0,72630.0,0.0,0.0,2030589.0,881166.0,333308.0,156426,77789.0,313643.0,118638.0,411688.0,568114,1292854.0,737735,388232.0,2500.0,737735,735235.0,0.0,737735.0,0.0,0,0.0,0.0,1149423,69.0,1,0.635385651,1.440588947,15.05936656,77.00786868,36.33108423,20.8084901,47.66659289,1269397.663,3.2318824310000003,1.829419937,1.194420761,5.082623396000001,5.035412445,1.7524639606362715,172342.0,3.7067744405157117,0.22943018011030294,0.00445319067521788,0.2800806071538849,0.3423750864366742,2.8504353761396324
365289,PALMER TIMBER LIMITED,16100,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23,L,N/A,01/10/2017,30/09/2018,2018,52,12,N,1,28903818.0,0.0,24354264.0,4549554.0,3743963.0,524866.0,3352150.0,223163.0,314370.0,-70344.0,244026.0,0.0,244026.0,5986496,0.0,5986496.0,12110516.0,4780115.0,5711229.0,999.0,1618173.0,0.0,0.0,18097012.0,12818056.0,4001473.0,8051520,14020.0,751043.0,0.0,1528061.0,9579581,14346117.0,3750895,-707540.0,101552.0,3750895,1957168.0,0.0,3750895.0,0.0,0,0.0,0.0,5278956,96.0,1,1.087641778,0.944801302,-40.8511434,255.3945392,20.7265984,50.53095909,60.36371994,12110515.55,5.955154769,1.7371376,3.4173326630000003,19.75942763,8.381199687,3.8247183672163576,3877016.0,2.4169999462487954,-0.04691647438814762,0.01887805567018467,0.7069759803441584,0.15687429567178351,1.5811880889508168
