REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
107182,VINCENT TIMBER LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.317253388,1.31870415,6.695528155,125.5487514,27.99157274,47.76527141,69.45449138,6907672.16,1.584215563,0.47430104700000003,2.502925687,39.34426904,1.6944422940000001,2.572503801051393,187967.0,2.0744330887713893,2,46,3,Reasonable_performance,3,3,3,2,5,5,4,2,2,4,5,2,3,3,2
132673,WOODLANDS HOME & GARDEN GROUP LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",21.02359305,5.980715335,1.483503333,1.1919313009999999,83.68019671,21.60335744,32.97446531,15215501.42,29.0342656,24.46214043,0.18821130600000002,7.904596194,29.23700595,0.19522694426941192,4087363.0,6.277613162944242,5,45,3,Reasonable_performance,5,1,1,4,3,3,4,4,5,1,3,4,2,5,5
158479,ROYAL BRITISH LEGION INDUSTRIES LTD.,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.148738765,2.5994272990000002,3.4304754330000002,18.22306238,75.14471395,19.04899971,27.81153958,8169999.9,2.1706108090000003,1.928335523,0.148534972,1.826616411,2.566162571,0.330765595463138,569000.0,2.7281695965140207,3,38,2,Moderate,4,2,2,4,3,3,4,2,3,1,2,2,2,4,3
201929,HOWARTH TIMBER & BUILDING SUPPLIES LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.9304427939999997,1.448299166,10.908919599999999,22.54575141,42.22637173,53.34081879,42.83238326,25715999.44,18.94742686,9.54178199,1.2079733320000001,11.46311971,23.21926662,1.5334788937409023,5140000.0,3.6439343185376223,3,52,4,Better_returns,3,4,2,3,5,4,4,4,4,3,4,4,3,5,3
254946,LBS BUILDERS MERCHANTS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",5.136207253,2.15956901,5.8839601770000005,0.328407225,57.06333021,36.293451899999994,39.18238048,16835999.24,26.302108399999998,15.02502337,0.753018449,11.16166269,26.38848643,0.7592359158343838,2897000.0,4.971007901153092,4,48,4,Better_returns,4,3,1,3,4,3,4,4,4,3,4,4,2,5,5
269521,WATFORD TIMBER COMPANY LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.117843932,1.430403298,11.34304077,0.0,30.08964663,28.70387254,46.79777676,3195211.472,35.36583083,10.64145352,2.323402272,10.81174785,35.36583083,2.3234022724530594,337909.0,4.446119255634278,3,45,3,Reasonable_performance,3,4,0,2,4,4,2,4,4,3,4,4,3,4,4
305654,MERRITT & FRYERS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",13.40043966,1.5001143069999998,6.722436372000001,13.29897798,53.12226313,23.24439867,34.94846137,3838631.3389999997,29.80146232,17.93660052,0.7494601409999999,19.67580011,33.76475223,0.8824499204086325,1295560.0,2.995902869397182,5,48,4,Better_returns,3,3,2,3,3,3,3,4,5,3,4,4,3,5,3
321764,STONEHAM PLC,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.5858091999999999,2.499455632,5.259209578,22.21377124,59.82766965,11.29421954,48.3902498,1926127.095,1.815404935,1.3032588059999999,0.47153973600000004,11.48130084,2.17835462,0.6714674094284817,194535.0,3.877943236623623,3,39,2,Moderate,4,3,2,3,3,4,2,2,3,2,4,2,2,3,4
325017,GEORGE WOOD & SONS (ENFIELD) LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-2.289128828,1.152842291,38.75797994,37.01406856,45.52019406,19.39811012,40.39822207,942134.6705,-14.04101822,-6.8982817789999995,1.117537017,5.5621575320000005,-15.15433297,1.1968271897341085,-16622.0,3.4980289805466978,0,30,1,Need_more_analysis,3,4,3,3,3,3,2,0,0,3,3,0,3,0,3
331922,REX BOUSFIELD LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-14.30438701,1.134667858,15.68856978,21.48136437,55.67683187,35.69342388,34.72709439,758074.9135,-17.56357206,-11.10802419,0.660154737,4.094912478,-19.95089127,0.7960792063554799,-160433.0,1.1381720574328351,0,29,1,Need_more_analysis,3,4,2,3,4,3,2,0,0,3,3,0,2,0,2
