REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
13067,CENTURION SAFETY PRODUCTS LTD,2019,manufacture of rubber and plastic products,8.987680676,5.405299983,1.598762148,5.697750047,85.63466257,23.27972231,66.2487927,11705467.57,10.54133534,9.036500234,0.17601691,20.31602299,11.14195428,0.249256657001215,1760710.0,4.551209714733749,5,49,3,Reasonable_performance,5,2,3,5,3,5,5,3,3,1,4,3,2,5,4
30635,"ROBERTS,MART & CO.LIMITED",2019,manufacture of rubber and plastic products,1.887038639,1.816541682,5.964763222999999,7.989472039,61.66245567,37.32865324,72.63540441,13992251.32,4.611477739,3.0707350819999997,0.541837644,13.89435311,4.979910463,0.621732363955802,2334936.0,3.2709202998001707,3,48,3,Reasonable_performance,4,3,3,4,4,5,5,3,2,2,4,2,2,5,3
32965,AVON RUBBER P.L.C.,2019,manufacture of rubber and plastic products,7.640825432000001,2.855191257,2.6406480119999998,58.7962963,62.42774566,21.98549916,64.93865031,104499999.4,9.992706054,7.887161773,0.42361111100000004,11.54489682,15.85648148,1.7084148727984343,18700000.0,2.2692050519618494,4,51,4,Better_returns,5,2,4,4,3,4,6,3,2,2,4,3,3,6,2
61652,ALBEA UK LIMITED,2019,manufacture of rubber and plastic products,7.283691137000001,2.3059506880000002,1.8138331669999999,20.94832056,59.76619665,49.71876095,27.39828855,38905999.87,6.933263469,4.94580176,0.48602869200000004,5.567232147,8.385665726000001,0.7113939715371697,4527000.0,2.2986634170646383,4,46,2,Moderate,4,2,3,4,5,3,5,3,2,2,3,3,2,5,2
70808,DUBOIS LIMITED,2019,manufacture of rubber and plastic products,-35.07208023,1.09380863,19.14533333,13.09709426,44.16551897,45.83153423,51.19506929,8744999.443,-63.11567866,-31.52623012,1.133238838,31.039765999999997,-71.38199858,1.2642097802976613,-3694000.0,0.21986645154245155,0,38,1,Need_more_analysis,3,4,3,4,4,4,5,0,0,3,5,0,3,0,2
84559,MICHELIN TYRE PUBLIC LIMITED COMPANY,2019,manufacture of rubber and plastic products,-4.329451752,1.085084848,34.1276558,-1632.034473,-2.9891691610000004,23.1233233,58.42481206,215486999.8,-15.01262778,-6.8420619910000005,-18.20757312,8.176812826,228.89887230000002,-34.43571886740585,9886000.0,1.6101134343090582,0,28,1,Need_more_analysis,3,4,0,0,3,4,1,0,0,0,3,5,0,5,2
117971,FIBRAX LIMITED,2019,manufacture of rubber and plastic products,5.394497662999999,1.5424692309999999,5.614375623,35.97416001,43.47010057,52.77725833,101.7757018,10300081.67,13.87546665,7.522455316,1.05409199,10.78067086,17.31833346,1.3045486726139524,2045460.0,2.6876282126629114,4,52,4,Better_returns,3,3,4,4,5,5,5,3,2,3,4,3,3,5,3
126931,HUTCHINSON (U.K.) LIMITED,2019,manufacture of rubber and plastic products,6.026629292000001,29.875,0.475191475,-192.7763939,-105.5196118,3.325157673,0.0,3107000.0,1.776125568,1.738778811,-0.019927188999999998,0.0,-1.647825254,-1.9476911285686915,294000.0,0.9164738755539662,4,15,1,Need_more_analysis,1,1,0,0,2,0,3,2,2,0,0,0,0,4,2
145824,S.MURRAY & COMPANY LIMITED,2019,manufacture of rubber and plastic products,-0.367600162,1.084308192,31.29140688,58.26666700000001,48.90704901,70.03418146,44.89412107,2104047.29,-0.635920914,-0.384070209,0.8097829040000001,26.92744439,-0.7853064479999999,1.0446950291746062,109903.0,1.7173988747128817,0,41,2,Moderate,3,4,4,4,5,4,3,0,0,3,5,0,3,3,2
149360,AVON POLYMER PRODUCTS LIMITED,2019,manufacture of rubber and plastic products,10.38996765,6.141261082000001,1.077640515,306.011095,25.11532271,33.17206736,21.69467342,45052886.37,7.229516962999999,6.422874711,0.5099051729999999,11.408638,29.35264099,8.673151011135246,5911368.0,1.7464313780125982,5,49,3,Reasonable_performance,5,1,4,3,4,3,5,3,2,2,4,4,4,5,2
151054,"E.M.RICHFORD,LIMITED",2019,manufacture of rubber and plastic products,3.6975450860000003,5.439399442000001,1.630872378,0.0,83.61783840000002,35.63023999,47.59398579,3280166.357,5.24481227,4.385598648,0.19591706600000008,50.31258167,5.24481227,0.1959170664892373,187336.0,5.33880791765748,3,43,2,Moderate,5,2,0,5,4,4,4,3,2,2,5,2,2,3,5
192795,MACDERMID AUTOTYPE LIMITED,2019,manufacture of rubber and plastic products,15.681222,12.72961957,0.8316344259999999,0.23605938199999998,92.63476740000002,23.42839566,25.95340901,56213998.34,11.7843062,10.94139752,0.077217647,17.02068389,11.81171204,0.07954605067585291,3483000.0,9.575787268796644,5,44,2,Moderate,5,1,2,5,3,3,5,3,3,1,4,3,1,5,5
196249,CARCLO PLC,2019,manufacture of rubber and plastic products,-0.0075946,0.992826745,-177.0386555,826.5923696000001,9.799279383,62.26670337,79.85522793,82351999.76,-0.012003901,-0.00534788,6.747498576,18.66088211,-0.065077686,-11.585435828200152,14258000.0,0.7807234066345258,0,37,1,Need_more_analysis,2,0,4,3,5,5,5,0,0,4,4,0,0,5,2
207104,RENOLIT CRAMLINGTON LIMITED,2019,manufacture of rubber and plastic products,9.354601771,4.2098879160000005,3.4514971780000003,5.239303843,79.49501355,10.1572959,39.55679976,27418998.4,23.25581395,18.99375317,0.236149384,14.40192913,24.47425671,0.2976511071214841,9254000.0,5.668347157386906,5,50,3,Reasonable_performance,5,2,3,5,2,3,5,4,4,2,4,4,2,5,5
217469,LEVY BROTHERS & KNOWLES LIMITED,2019,manufacture of rubber and plastic products,-2.733482182,1.9751490580000002,5.077607395,0.0,49.91481368,30.72157582,60.0956427,2987408.335,-13.58082679,-6.778844387,1.003413268,13.42860794,-13.58082679,1.0034132681594825,-154111.0,3.394368003890379,0,32,1,Need_more_analysis,4,3,0,4,4,4,3,0,0,3,4,0,3,0,3
223064,GOODYEAR TYRES UK LIMITED,2019,manufacture of rubber and plastic products,5.482722129,1.7731465169999998,3.252613049,20.21628415,74.17751407,25.38266946,34.81717011,145913999.9,4.641914698,3.472740851,0.34018040200000005,2.19241233,4.690290363,0.35147511634749673,4814000.0,2.608768244798436,4,45,2,Moderate,4,2,3,5,4,3,6,3,2,2,2,2,2,5,3
257353,HARBORO' RUBBER COMPANY LIMITED(THE),2019,manufacture of rubber and plastic products,0.115240205,2.268974863,4.408081858,16.94129262,62.8487731,31.87461067,60.64584663,3797555.236,0.23259875,0.170924383,0.42195737,13.66610611,0.272003985,0.5915177845299089,394285.0,3.132180434671194,2,43,2,Moderate,4,3,3,4,4,4,4,2,1,2,4,2,2,4,3
290012,APOLLO VREDESTEIN (UK) LTD,2019,manufacture of rubber and plastic products,1.72351554,1.340183758,13.26337409,0.0,25.43469334,1.800825976,66.11321966,7969848.903,22.79780843,5.798552663,2.9316377310000004,2.143830553,22.79780843,2.9316377306997974,468792.0,4.097072068552474,3,46,2,Moderate,3,4,0,3,2,5,5,4,2,4,2,4,4,4,4
291835,RIEKE PACKAGING SYSTEMS LIMITED,2019,manufacture of rubber and plastic products,16.16629113,2.577943416,2.502184072,34.05857195,68.64150943,23.65020401,30.47408806,32164999.79,5.535437504,5.093700032,0.11625870099999999,5.204717536,7.420728469,0.4568444200109951,5980000.0,1.963653339321318,5,45,2,Moderate,4,2,4,5,3,3,5,3,2,1,3,3,2,5,2
304968,FORTEQ (UK) LIMITED,2019,manufacture of rubber and plastic products,5.34844478,1.518668214,4.107946727,9.693606576,49.49872608,27.8909354,89.682099,7685464.796,10.1304275,5.362944676000001,0.9507522079999999,9.585779994,10.8345105,1.020254013068693,952831.0,2.223645435020191,4,49,3,Reasonable_performance,3,3,3,4,4,5,5,3,2,3,3,3,3,5,2
309549,TEX PLASTICS (BARNSTAPLE) LIMITED,2019,manufacture of rubber and plastic products,0.252996029,0.9358336759999999,-41.46193762,42.37258721,17.830182500000006,40.31978934,85.91630037,3136658.77,1.978393765,0.502221037,4.184741679,8.626581449,2.8166903889999997,4.608467550628012,492766.0,2.4060650140016198,2,41,2,Moderate,2,0,4,3,4,5,3,2,1,4,3,2,4,4,3
