REGISTRATION_NUMBER,COMPANY_NAME,SIC_CODE,INDUSTRY_TYPE,INDUSTRY_CODE,DISSOLVED/REMOVED/LIVE,LIQUIDATION,ACCOUNTING_FROM_DATE,ACCOUNTING_TO_DATE,Year,WEEKS,MONTHS,CONSOLIDATED-ACCOUNTS,ACCOUNTS_FORMAT,TURNOVER,EXPORT,COST_OF_SALES,GROSS_PROFIT,WAGES_AND_SALARIES,OPERATING_PROFITS,DEPRECIATION,INTEREST_PAYMENTS,PRETAX_PROFITS,TAXATION,PROFIT_AFTER_TAX,DIVIDENDS_PAYABLE,RETAINED_PROFITS,TANGIBLE_ASSETS,INTANGIBLE_ASSETS,TOTAL_FIXED_ASSETS,TOTAL_CURRENT_ASSETS,TRADE_DEBTORS,STOCK,CASH,OTHER_CURRENT_ASSETS,INCREASE_IN_CASH,MISCELANEOUS_CURRENT_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,TRADE_CREDITORS,BANK_OVERDRAFT,OTHER_SHORTTERM_FIN,MISC_CURRENT_LIABILITIES,OTHER_LONGTERM_FIN,TOTAL_LONGTERM_LIAB,BANK_OD_LTL,TOTAL_LIAB,NET_ASSETS,WORKING_CAPITAL,PAIDUP_EQUITY,SHAREHOLDER_FUNDS,P&L_ACCOUNT_RESERVE,SUNDRY_RESERVES,REVALUATION_RESERVE,NETWORTH,NET_CASHFLOW_FROM_OPERATIONS,NET_CASHFLOW_BEFOR_FINANCING,NET_CASHFLOW_FROM_FINANCING,CONTINGENT_LIAB,CAPITAL_EMPLOYED,EMPLOYEES_COUNT,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,Z1,Z2,Z3,Z4,Z5
11785,BERTHON BOAT COMPANY LIMITED,33150,repair and installation of machinery and equipment,4,L,N/A,02/10/2019,30/09/2020,2020,52,12,Y,1,19930045.0,0.0,12762255.0,7167790.0,4246611.0,2077349.0,389508.0,4560.0,2316191.0,-895666.0,1420525.0,0.0,1359480.0,33365233,2353646.0,35718879.0,16275484.0,1891556.0,1325173.0,11936735.0,260521.0,4892048.0,0.0,51994363.0,6281234.0,608360.0,0,0.0,5672874.0,96000.0,0.0,9901159,16182393.0,35811970,9994250.0,11817.0,33458324,13228623.0,22436900.0,35811970.0,5293832.0,4892048,0.0,0.0,45713129,161.0,1,11.62160447,2.591128431,1.994151137,27.64762452,72.14233026,11.14154032,34.64206629,16275483.79,5.066796018,4.4546963680000005,0.17539481899999998,6.649121966,6.467644757,0.4836582071474949,2466857.0,2.04385841519757,0.23066154305996595,0.0366053527764154,0.15656751290519705,1.2405454743312685,0.3794785321247228
12592,REFLEX PLUS LTD,18129,printing and reproduction of recorded media,6,L,N/A,02/03/2019,29/02/2020,2020,52,12,N,1,3076000.0,255000.0,3117000.0,-41000.0,1042000.0,-2125000.0,269000.0,59000.0,-2184000.0,-103000.0,-2287000.0,0.0,-2287000.0,8522000,0.0,8522000.0,9686000.0,5063000.0,2003000.0,13000.0,1343000.0,0.0,1055000.0,18208000.0,15757000.0,3958000.0,0,10449000.0,1350000.0,2634000.0,0.0,2648000,18405000.0,-197000,-6071000.0,121000.0,-197000,-318000.0,0.0,-197000.0,0.0,0,0.0,21365000.0,2451000,37.0,1,-71.00130039,0.614710922,-0.506671059,-1344.162437,-1.081942004,469.6586476,600.7786086,9685999.873,-89.10648715,-11.99472759,-79.98477157,65.11703511,1108.629442,-93.42639593908629,-1856000.0,-0.7515100413513749,-0.40010984182776793,-0.1758457820738137,-0.33637961335676625,-0.006422167889160554,0.16724736379613356
30226,JAMES CROPPER PUBLIC LIMITED COMPANY,17120,manufacture of paper and paper products,15,L,N/A,30/03/2019,28/03/2020,2020,52,12,Y,2,104667000.0,0.0,0.0,0.0,30388000.0,6569000.0,3795000.0,1136000.0,5459000.0,-630000.0,4829000.0,1275000.0,3554000.0,38710000,495000.0,39205000.0,43625000.0,16737000.0,13956000.0,8964000.0,2096000.0,6519000.0,1872000.0,82830000.0,20575000.0,7232000.0,3008000,1023000.0,9312000.0,14104000.0,0.0,30866000,48433000.0,34397000,23050000.0,2389000.0,33902000,31087000.0,0.0,34397000.0,13065000.0,3870000,2649000.0,0.0,62255000,584.0,1,5.215588485,2.120291616,4.540867679,89.73456988,41.77688711,25.21979229,58.36610393,43624999.32,8.768773592,6.590607267999999,0.59816263,13.3337155,15.87057011,1.4286177806619078,10364000.0,2.4779017417552693,0.33393697935530603,0.06007002293854884,0.4129083665338645,0.41998637292754937,1.251
31942,SAMUEL HEATH AND SONS PUBLIC LIMITED COMPANY,32990,other manufacturing,2,L,N/A,02/04/2019,31/03/2020,2020,52,12,Y,2,13887000.0,0.0,6798000.0,7089000.0,6030000.0,1534000.0,405000.0,195000.0,1368000.0,-299000.0,1069000.0,314000.0,755000.0,4522000,151000.0,4673000.0,9616000.0,2115000.0,4230000.0,3016000.0,255000.0,-137000.0,0.0,14289000.0,2005000.0,968000.0,0,58000.0,979000.0,46000.0,0.0,6621000,8626000.0,5663000,7611000.0,254000.0,5512000,3951000.0,1349000.0,5663000.0,780000.0,232000,-369000.0,0.0,12284000,141.0,1,9.850939728,4.796009975,1.82459598,116.9168285,40.05517046,25.44250018,55.58976021,9615997.89,11.13643764,9.573798026,0.35405262200000004,30.46014258,24.15680735,1.5649492017416546,1939000.0,2.506502812329051,0.6391769892924627,0.07397298621317097,0.4478060046189377,0.3833990261998609,0.9621478060046188
33774,JOHNSON MATTHEY PLC,29320,"manufacture of motor vehicles, trailers and semi-trailers",3,L,N/A,02/04/2019,31/03/2020,2020,52,12,Y,2,14577000000.0,11302000000.0,13576000000.0,1001000000.0,745000000.0,388000000.0,140000000.0,190000000.0,305000000.0,-50000000.0,255000000.0,167000000.0,88000000.0,2043000000,976000000.0,3019000000.0,4342000000.0,1228000000.0,1902000000.0,304000000.0,849000000.0,-103000000.0,59000000.0,7361000000.0,3286000000.0,677000000.0,31000000,393000000.0,2185000000.0,64000000.0,0.0,1282000000,4537000000.0,2824000000,1056000000.0,221000000.0,1848000000,2345000000.0,0.0,2824000000.0,598000000.0,267000000,-370000000.0,0.0,4075000000,3020.0,1,2.092337244,1.32136336,13.80397727,45.39660057,44.22866092,16.95170474,30.74843932,4341999999.0,7.484662577000001,4.143458769,1.163597734,13.04795225,10.80028329,2.45508658008658,528000000.0,2.6304834886109187,0.17215052302676265,0.016736856405379703,0.23670696916179865,0.2443905664536037,1.9604985735633744
37545,LEEDS AND BRADFORD BOILER COMPANY LIMITED(THE),28990,manufacture of machinery and equipment (not elsewhere classified),5,L,N/A,02/04/2019,31/03/2020,2020,52,12,N,1,12217788.0,8531481.0,8019782.0,4198006.0,3252778.0,1719031.0,74429.0,0.0,1725558.0,-390060.0,1335498.0,1000000.0,335498.0,458322,0.0,458322.0,8735166.0,4146634.0,1443964.0,2701444.0,443124.0,-78686.0,0.0,9193488.0,2070398.0,698600.0,0,0.0,1371798.0,0.0,0.0,80000,2150398.0,7043090,6664768.0,29058.0,7043090,6987990.0,0.0,7043090.0,990364.0,-78686,0.0,127852.0,7123090,79.0,1,14.12332576,4.219075753,1.833190293,1.135865082,76.60955233,20.87030811,123.87851299999998,8735165.303,24.22485186,18.76935065,0.293961599,11.81853867,24.50001349,0.3053202500606978,1793460.0,4.845606713260015,0.8699333267199566,0.05109020645918067,0.6437619758681362,1.9651497071704864,1.3156714970422545
40000,JOHN SMEDLEY LIMITED,14190,manufacture of wearing apparel,1,L,N/A,02/04/2019,31/03/2020,2020,52,12,N,1,17272000.0,0.0,10650000.0,6622000.0,8031000.0,292000.0,466000.0,15000.0,288000.0,28000.0,316000.0,125000.0,191000.0,3352000,0.0,3352000.0,11202000.0,662000.0,5223000.0,4992000.0,115000.0,870000.0,0.0,14554000.0,1920000.0,670000.0,0,120000.0,1130000.0,201000.0,0.0,607000,2527000.0,12027000,9282000.0,254000.0,12027000,11162000.0,1026000.0,12027000.0,1395000.0,1028000,-158000.0,0.0,12634000,346.0,1,1.667438629,5.834375,1.860805861,5.046977634,82.63707572,14.15875405,13.9896943,11201997.28,2.279563084,1.978837433,0.159640808,30.239694300000004,2.394612123,0.21011058451816747,758000.0,4.986082961974125,0.7653153772158856,0.018372955888415556,0.171870276212725,2.8556390977443606,1.1748852549127389
41495,PILKINGTON GROUP LIMITED,23110,manufacture of other non-metallic mineral products,12,L,N/A,02/04/2019,31/03/2020,2020,52,12,N,2,81257000.0,69040000.0,84355000.0,-3098000.0,20112000.0,-18615000.0,158000.0,12737000.0,-264325000.0,-88000.0,-264413000.0,0.0,-264413000.0,2416220000,1880000.0,2418100000.0,55959000.0,65000.0,0.0,25771000.0,29829000.0,0.0,294000.0,2474059000.0,22374000.0,0.0,0,10456000.0,11918000.0,0.0,0.0,954108000,976482000.0,1497577000,33585000.0,736866000.0,1495697000,624741000.0,0.0,1497577000.0,0.0,0,0.0,0.0,2451685000,233.0,1,-325.2950515,2.501072674,2.419443204,63.71011307,60.57720739,0.0,0.291974845,55959000.0,-10.78136057,-10.68386,0.014940133,0.0,-17.65017759,0.6528608401300531,-18457000.0,0.7935944563753362,0.016289829789831206,-0.1496238367799636,-0.024618693410302664,0.919031994445366,0.03251516233040522
51702,DANIEL THWAITES PUBLIC LIMITED COMPANY,11050,manufacture of beverages,10,L,N/A,02/04/2019,31/03/2020,2020,52,12,Y,1,98100000.0,0.0,74100000.0,24000000.0,29600000.0,12600000.0,7700000.0,4600000.0,3600000.0,-300000.0,3300000.0,2600000.0,700000.0,303800000,0.0,303800000.0,6600000.0,3700000.0,500000.0,500000.0,800000.0,-3700000.0,0.0,310400000.0,13700000.0,4200000.0,400000,0.0,9100000.0,65500000.0,0.0,119600000,132900000.0,177500000,-7100000.0,14700000.0,177500000,85900000.0,75800000.0,177500000.0,18700000.0,4300000,-8000000.0,0.0,296700000,840.0,1,3.669724771,0.481751825,-13.81690141,67.38028169,57.18427835,15.62691131,13.76656473,6599999.964,1.213346815,1.159793814,0.077183099,0.509683996,2.028169014,0.7487323943661972,20300000.0,1.3057648399501989,-0.02744845360824742,0.0031572164948453605,0.21581829896907215,0.801354401805869,0.3128833762886597
53913,DS SMITH CORRUGATED PACKAGING LIMITED,17219,manufacture of paper and paper products,15,L,N/A,02/05/2019,30/04/2020,2020,52,12,N,2,71101000.0,3870000.0,44335000.0,26766000.0,8777000.0,11009000.0,1810000.0,524000.0,10732000.0,-1382000.0,9350000.0,0.0,9350000.0,22005000,166000.0,22171000.0,153963000.0,3873000.0,2453000.0,2777000.0,143432000.0,0.0,0.0,176134000.0,58452000.0,5115000.0,0,49885000.0,3452000.0,12689000.0,0.0,12836000,71288000.0,104846000,95511000.0,19737000.0,104680000,5722000.0,44000.0,104846000.0,0.0,0,0.0,752000000.0,117682000,352.0,1,15.09402118,2.634007391,0.744427343,12.24271789,59.58242408,26.25806951,19.88220981,153963000.0,9.119491511,6.093088217000001,0.557503386,3.4500218,10.23596513,0.6810087886893389,12819000.0,2.2458924923983328,0.6507159321879932,0.07431841666004292,0.2401733907138883,0.8810458983279094,0.3996388545084992
57145,"JONES & BROOKS,LIMITED",18129,printing and reproduction of recorded media,6,L,N/A,02/03/2019,29/02/2020,2020,52,12,N,1,8302785.0,674443.0,5198519.0,3104266.0,1955552.0,1311782.0,347248.0,1578.0,1342552.0,-185884.0,1156668.0,4921500.0,-3764832.0,1957267,0.0,1957267.0,3080691.0,1248052.0,816000.0,962685.0,53954.0,0.0,0.0,5037958.0,1210159.0,563765.0,0,0.0,646394.0,0.0,0.0,266749,1476908.0,3561050,1870532.0,3840.0,3561050,3557000.0,0.0,3561050.0,0.0,0,0.0,0.0,3827799,60.0,1,16.16989962,2.545691103,4.438729196000001,7.490740091,70.68439237,24.7837593,54.86580467,3080690.326000001,35.07373297,26.64873347,0.33983207200000004,9.828027583999999,37.70101515,0.41473947290827146,1659030.0,3.564301233470279,0.4455452784640125,-1.0462105480037744,1.0867099328735967,1.4466913308073353,1.6315652393291091
57696,HALL & WOODHOUSE LIMITED,11050,manufacture of beverages,10,L,N/A,26/01/2019,25/01/2020,2020,52,12,Y,1,116569000.0,0.0,0.0,0.0,0.0,7339000.0,6735000.0,1994000.0,5944000.0,-1826000.0,4118000.0,1843000.0,2275000.0,195242000,0.0,195242000.0,18670000.0,9655000.0,4055000.0,1433000.0,3527000.0,2922000.0,0.0,213912000.0,19578000.0,6735000.0,0,0.0,12843000.0,0.0,0.0,71432000,91010000.0,122902000,-908000.0,800000.0,122902000,121770000.0,332000.0,122902000.0,11949000.0,5922000,-3000000.0,0.0,194334000,1488.0,1,5.09912584,0.953621412,-128.3799559,58.12110462,57.45446726,21.08858273,30.23166537,18669999.79,3.0586516,2.778712742,0.15929765199999998,3.4786263930000003,4.836373696,0.740508697987014,14074000.0,1.576657339335816,-0.005093683383821385,0.01488930027300946,0.21711825423538653,0.8102538182617294,0.539489649949512
58614,DS SMITH PAPER LIMITED,17120,manufacture of paper and paper products,15,L,N/A,02/05/2019,30/04/2020,2020,52,12,N,2,290847000.0,40989000.0,227144000.0,63703000.0,31242000.0,43951000.0,15226000.0,335000.0,43992000.0,-7760000.0,36232000.0,0.0,36232000.0,230894000,1148000.0,232042000.0,271210000.0,10654000.0,16938000.0,12626000.0,218948000.0,0.0,12044000.0,503252000.0,142061000.0,50765000.0,0,70437000.0,20859000.0,0.0,0.0,17090000,159151000.0,344101000,129149000.0,196275000.0,342953000,126392000.0,8704000.0,344101000.0,0.0,0,0.0,0.0,361191000,446.0,1,15.12547834,1.909109467,2.252026729,4.966565049,68.53181811,63.70780857,13.37029435,271209999.9,12.17970547,8.741544991,0.41284681,5.823680492,12.78461847,0.4640606730368301,59177000.0,2.6618831999650814,0.3079546628726761,0.10079403559250633,0.3880443594859037,1.2929343830701658,0.5721557589438293
63351,"SAMUEL TAYLOR,LIMITED",25990,"manufacture of fabricated metal products, except machinery and equipment",13,L,N/A,02/06/2019,31/05/2020,2020,52,12,N,1,21383570.0,17814438.0,19197394.0,2186176.0,2343344.0,577290.0,532214.0,26820.0,550470.0,71759.0,622229.0,0.0,622229.0,2765349,0.0,2765349.0,9793308.0,3690192.0,5652092.0,270616.0,174714.0,0.0,0.0,12558657.0,3972056.0,3215148.0,0,359328.0,397580.0,380549.0,0.0,693549,4665605.0,7893052,5821252.0,7999.0,7893052,7883052.0,0.0,7893052.0,0.0,0,0.0,0.0,8586601,78.0,1,2.57426613,2.465551342,3.673362706,8.786829227,62.84949099,54.87993913,62.98855056,9793306.577,6.410802132000001,4.38319161,0.50323449,26.43193817,6.974108368,0.5911027825484996,1109504.0,3.617855722609015,0.5562300491206982,0.06936415255229918,0.2915409824474066,1.0150518957348509,1.6856686427537595
